# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	12864	13187	-							CSAC_RS00045	324		old_locus_tag=Csac_0009
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	12864	13187	-	WP_011915641.1	WP_011915641.1		hypothetical protein			CSAC_RS00045	324	107	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	13209	13934	+							CSAC_RS00050	726		old_locus_tag=Csac_0010
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	13209	13934	+	WP_049754816.1	WP_049754816.1		FAD-dependent oxidoreductase			CSAC_RS00050	726	241	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	13921	14286	+							CSAC_RS00055	366		old_locus_tag=Csac_0011
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	13921	14286	+	WP_011915642.1	WP_011915642.1		DUF1667 domain-containing protein			CSAC_RS00055	366	121	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	15465	16781	+							CSAC_RS00060	1317		old_locus_tag=Csac_0012
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	15465	16781	+	WP_011915643.1	WP_011915643.1		WYL domain-containing protein			CSAC_RS00060	1317	438	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	16765	17766	+							CSAC_RS00065	1002		old_locus_tag=Csac_0013
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	16765	17766	+	WP_011915644.1	WP_011915644.1		WYL domain-containing protein			CSAC_RS00065	1002	333	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	17786	18373	-							CSAC_RS00070	588		old_locus_tag=Csac_0014
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	17786	18373	-	WP_011915645.1	WP_011915645.1		class I SAM-dependent methyltransferase			CSAC_RS00070	588	195	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	18358	21057	-							CSAC_RS00075	2700		old_locus_tag=Csac_0015
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	18358	21057	-	WP_011915646.1	WP_011915646.1		DEAD/DEAH box helicase family protein			CSAC_RS00075	2700	899	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	21326	23074	+							CSAC_RS00080	1749		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	21326	23074	+	WP_041722407.1	WP_041722407.1		hypothetical protein			CSAC_RS00080	1749	582	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	23150	24366	+							CSAC_RS00085	1217		pseudo;old_locus_tag=Csac_0017
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	23150	24366	+				transposase			CSAC_RS00085	1217		pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	24472	25011	+							CSAC_RS00090	540		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	24472	25011	+	WP_041722408.1	WP_041722408.1		hypothetical protein			CSAC_RS00090	540	179	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	25069	25993	+							CSAC_RS14880	925		partial;pseudo;old_locus_tag=Csac_0018
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	25069	25993	+				hypothetical protein			CSAC_RS14880	925		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	26066	26335	+							CSAC_RS14140	270		old_locus_tag=Csac_0019
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	26066	26335	+	WP_049754819.1	WP_049754819.1		hypothetical protein			CSAC_RS14140	270	89	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	26442	29489	+							CSAC_RS00100	3048		old_locus_tag=Csac_0020
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	26442	29489	+	WP_011915648.1	WP_011915648.1		EAL domain-containing protein			CSAC_RS00100	3048	1015	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	29695	30090	+							CSAC_RS00105	396		old_locus_tag=Csac_0021
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	29695	30090	+	WP_011915649.1	WP_011915649.1		hypothetical protein			CSAC_RS00105	396	131	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	30182	30442	-							CSAC_RS00110	261		old_locus_tag=Csac_0022
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	30182	30442	-	WP_011915650.1	WP_011915650.1		stage V sporulation protein S			CSAC_RS00110	261	86	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	30620	31333	+							CSAC_RS00115	714		old_locus_tag=Csac_0023
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	30620	31333	+	WP_011915651.1	WP_011915651.1		hypothetical protein			CSAC_RS00115	714	237	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	31374	31883	+							CSAC_RS00120	510		old_locus_tag=Csac_0024
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	31374	31883	+	WP_011915652.1	WP_011915652.1		hypothetical protein			CSAC_RS00120	510	169	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	31978	32790	+							CSAC_RS00125	813		old_locus_tag=Csac_0025
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	31978	32790	+	WP_011915653.1	WP_011915653.1		hypothetical protein			CSAC_RS00125	813	270	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	32898	34136	-							CSAC_RS00130	1239		pseudo
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	32898	34136	-				transposase			CSAC_RS00130	1239		pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	34690	34968	+							CSAC_RS00140	279		old_locus_tag=Csac_0028
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	34690	34968	+	WP_011915654.1	WP_011915654.1		hypothetical protein			CSAC_RS00140	279	92	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	35001	36228	+							CSAC_RS00145	1228		pseudo;old_locus_tag=Csac_0029
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	35001	36228	+				transposase			CSAC_RS00145	1228		pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	36588	37943	+							CSAC_RS00150	1356		old_locus_tag=Csac_0030
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	36588	37943	+	WP_011915655.1	WP_011915655.1		TrpB-like pyridoxal phosphate-dependent enzyme			CSAC_RS00150	1356	451	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	37971	38504	-							CSAC_RS14885	534		old_locus_tag=Csac_0031
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	37971	38504	-	WP_228370072.1	WP_228370072.1		WG repeat-containing protein			CSAC_RS14885	534	177	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	38508	39458	-							CSAC_RS14890	951		old_locus_tag=Csac_0032
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	38508	39458	-	WP_011915657.1	WP_011915657.1		WG repeat-containing protein			CSAC_RS14890	951	316	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	39706	40275	+							CSAC_RS00160	570		old_locus_tag=Csac_0033
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	39706	40275	+	WP_011915658.1	WP_011915658.1		LemA family protein			CSAC_RS00160	570	189	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	40293	41162	+							CSAC_RS00165	870		old_locus_tag=Csac_0034
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	40293	41162	+	WP_011915659.1	WP_011915659.1		TPM domain-containing protein			CSAC_RS00165	870	289	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	41212	41424	-							CSAC_RS14895	213		old_locus_tag=Csac_0035
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	41212	41424	-	WP_011915660.1	WP_011915660.1		hypothetical protein			CSAC_RS14895	213	70	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	42373	42546	-							CSAC_RS14705	174		old_locus_tag=Csac_0037
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	42373	42546	-	WP_011915661.1	WP_011915661.1		hypothetical protein			CSAC_RS14705	174	57	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	42516	42695	-							CSAC_RS14710	180		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	42516	42695	-	WP_041722411.1	WP_041722411.1		hypothetical protein			CSAC_RS14710	180	59	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	43298	44776	+					istA		CSAC_RS00185	1479		old_locus_tag=Csac_0040
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	43298	44776	+	WP_011915662.1	WP_011915662.1		IS21-like element ISCsa9 family transposase	istA		CSAC_RS00185	1479	492	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	44773	45564	+					istB		CSAC_RS00190	792		old_locus_tag=Csac_0041
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	44773	45564	+	WP_011915663.1	WP_011915663.1		IS21-like element ISCsa9 family helper ATPase IstB	istB		CSAC_RS00190	792	263	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	45921	46319	+					csx20		CSAC_RS00195	399		old_locus_tag=Csac_0042
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	45921	46319	+	WP_011915664.1	WP_011915664.1		CRISPR-associated protein Csx20	csx20		CSAC_RS00195	399	132	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	46365	47786	+					csx1		CSAC_RS00200	1422		old_locus_tag=Csac_0043
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	46365	47786	+	WP_011915665.1	WP_011915665.1		CRISPR-associated CARF protein Csx1	csx1		CSAC_RS00200	1422	473	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	47866	49179	+					csx2		CSAC_RS00205	1314		old_locus_tag=Csac_0044
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	47866	49179	+	WP_011915666.1	WP_011915666.1		TIGR02221 family CRISPR-associated protein	csx2		CSAC_RS00205	1314	437	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	49550	50497	-							CSAC_RS00210	948		old_locus_tag=Csac_0045
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	49550	50497	-	WP_011915667.1	WP_011915667.1		ISNCY-like element ISCsa7 family transposase			CSAC_RS00210	948	315	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	50669	51598	+							CSAC_RS00215	930		old_locus_tag=Csac_0046
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	50669	51598	+	WP_011915668.1	WP_011915668.1		hypothetical protein			CSAC_RS00215	930	309	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	51634	52731	+							CSAC_RS00220	1098		old_locus_tag=Csac_0047
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	51634	52731	+	WP_011915669.1	WP_011915669.1		DUF1848 domain-containing protein			CSAC_RS00220	1098	365	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	53583	53756	-							CSAC_RS14715	174		old_locus_tag=Csac_0048
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	53583	53756	-	WP_187147309.1	WP_187147309.1		hypothetical protein			CSAC_RS14715	174	57	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	53726	53905	-							CSAC_RS00230	180		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	53726	53905	-	WP_041722413.1	WP_041722413.1		hypothetical protein			CSAC_RS00230	180	59	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	54450	55841	+							CSAC_RS00235	1392		old_locus_tag=Csac_0049
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	54450	55841	+	WP_011915670.1	WP_011915670.1		ATP-binding protein			CSAC_RS00235	1392	463	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	56054	56617	+							CSAC_RS14900	564		old_locus_tag=Csac_0050
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	56054	56617	+	WP_011915671.1	WP_011915671.1		hypothetical protein			CSAC_RS14900	564	187	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	56614	57147	+							CSAC_RS14905	534		old_locus_tag=Csac_0051
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	56614	57147	+	WP_011915672.1	WP_011915672.1		hypothetical protein			CSAC_RS14905	534	177	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57477	57668	-							CSAC_RS00245	192		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57477	57668	-	WP_148203698.1	WP_148203698.1		hypothetical protein			CSAC_RS00245	192	63	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57724	57858	-							CSAC_RS14540	135		partial;pseudo
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57724	57858	-				carbamoyl-phosphate synthetase large chain oligomerization			CSAC_RS14540	135		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57933	59162	+							CSAC_RS00250	1230		old_locus_tag=Csac_0052
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	57933	59162	+	WP_011915673.1	WP_011915673.1		IS256-like element ISCsa2 family transposase			CSAC_RS00250	1230	409	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	59092	59574	-							CSAC_RS14910	483		old_locus_tag=Csac_0053
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	59092	59574	-	WP_011915674.1	WP_011915674.1		hypothetical protein			CSAC_RS14910	483	160	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	59608	59982	-							CSAC_RS14915	375		old_locus_tag=Csac_0054
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	59608	59982	-	WP_011915675.1	WP_011915675.1		Rpn family recombination-promoting nuclease/putative transposase			CSAC_RS14915	375	124	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	62398	63519	-							CSAC_RS00260	1122		old_locus_tag=Csac_0055
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	62398	63519	-	WP_011915676.1	WP_011915676.1		IS481-like element ISCsa6 family transposase			CSAC_RS00260	1122	373	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	63753	65825	+							CSAC_RS00265	2073		old_locus_tag=Csac_0056
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	63753	65825	+	WP_011915677.1	WP_011915677.1		TIGR02556 family CRISPR-associated protein			CSAC_RS00265	2073	690	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	65847	66731	+					cas7b		CSAC_RS00270	885		old_locus_tag=Csac_0057
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	65847	66731	+	WP_011915678.1	WP_011915678.1		type I-B CRISPR-associated protein Cas7/Csh2	cas7b		CSAC_RS00270	885	294	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	66752	67504	+					cas5		CSAC_RS00275	753		old_locus_tag=Csac_0058
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	66752	67504	+	WP_011915679.1	WP_011915679.1		CRISPR-associated protein Cas5	cas5		CSAC_RS00275	753	250	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	67597	68037	+							CSAC_RS00280	441		old_locus_tag=Csac_0059
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	67597	68037	+	WP_011915680.1	WP_011915680.1		CRISPR-associated endonuclease Cas3''			CSAC_RS00280	441	146	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	68072	68863	-					istB		CSAC_RS00285	792		old_locus_tag=Csac_0060
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	68072	68863	-	WP_011915681.1	WP_011915681.1		IS21-like element ISCsa9 family helper ATPase IstB	istB		CSAC_RS00285	792	263	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	69030	70259	+							CSAC_RS00290	1230		old_locus_tag=Csac_0061
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	69030	70259	+	WP_011915673.1	WP_011915673.1		IS256-like element ISCsa2 family transposase			CSAC_RS00290	1230	409	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	70267	71655	-					istA		CSAC_RS00295	1389		partial;pseudo;old_locus_tag=Csac_0062
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	70267	71655	-				IS21-like element ISCsa9 family transposase	istA		CSAC_RS00295	1389		partial;pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	71648	73819	+					cas3		CSAC_RS00300	2172		old_locus_tag=Csac_0063
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	71648	73819	+	WP_228369934.1	WP_228369934.1		CRISPR-associated helicase Cas3'	cas3		CSAC_RS00300	2172	723	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	73848	74345	+					cas4		CSAC_RS00305	498		old_locus_tag=Csac_0064
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	73848	74345	+	WP_011915683.1	WP_011915683.1		CRISPR-associated protein Cas4	cas4		CSAC_RS00305	498	165	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	74396	75388	+					cas1b		CSAC_RS00310	993		old_locus_tag=Csac_0065
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	74396	75388	+	WP_011915684.1	WP_011915684.1		type I-B CRISPR-associated endonuclease Cas1b	cas1b		CSAC_RS00310	993	330	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	75394	75657	+					cas2		CSAC_RS00315	264		old_locus_tag=Csac_0066
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	75394	75657	+	WP_011915685.1	WP_011915685.1		CRISPR-associated endonuclease Cas2	cas2		CSAC_RS00315	264	87	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	75848	76795	-							CSAC_RS00320	948		old_locus_tag=Csac_0067
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	75848	76795	-	WP_011915686.1	WP_011915686.1		zeta toxin family protein			CSAC_RS00320	948	315	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	76834	77115	-							CSAC_RS00325	282		old_locus_tag=Csac_0068
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	76834	77115	-	WP_011915687.1	WP_011915687.1		hypothetical protein			CSAC_RS00325	282	93	
gene	pseudogene	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	77279	78722	+							CSAC_RS14300	1444		pseudo
CDS	without_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	77279	78722	+				transposase			CSAC_RS14300	1444		pseudo
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	79068	79364	+							CSAC_RS00330	297		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	79068	79364	+	WP_041722416.1	WP_041722416.1		hypothetical protein			CSAC_RS00330	297	98	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	79662	80039	-							CSAC_RS00340	378		old_locus_tag=Csac_0071
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	79662	80039	-	WP_011915689.1	WP_011915689.1		hypothetical protein			CSAC_RS00340	378	125	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	80233	81618	+							CSAC_RS00345	1386		old_locus_tag=Csac_0072
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	80233	81618	+	WP_011915690.1	WP_011915690.1		ATP-binding protein			CSAC_RS00345	1386	461	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	81795	82340	+							CSAC_RS14920	546		old_locus_tag=Csac_0073
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	81795	82340	+	WP_011915691.1	WP_011915691.1		hypothetical protein			CSAC_RS14920	546	181	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82385	82522	+							CSAC_RS14925	138		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82385	82522	+	WP_228369935.1	WP_228369935.1		hypothetical protein			CSAC_RS14925	138	45	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82567	82737	+							CSAC_RS14930	171		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82567	82737	+	WP_228369937.1	WP_228369937.1		hypothetical protein			CSAC_RS14930	171	56	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82852	85335	+					cas10		CSAC_RS00360	2484		old_locus_tag=Csac_0075
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	82852	85335	+	WP_011915692.1	WP_011915692.1		type III-A CRISPR-associated protein Cas10/Csm1	cas10		CSAC_RS00360	2484	827	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	85367	85777	+					csm2		CSAC_RS00365	411		old_locus_tag=Csac_0076
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	85367	85777	+	WP_011915693.1	WP_011915693.1		type III-A CRISPR-associated protein Csm2	csm2		CSAC_RS00365	411	136	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	85807	86598	+					csm3		CSAC_RS00370	792		old_locus_tag=Csac_0077
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	85807	86598	+	WP_011915694.1	WP_011915694.1		type III-A CRISPR-associated RAMP protein Csm3	csm3		CSAC_RS00370	792	263	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	86642	87652	+					csm4		CSAC_RS00375	1011		old_locus_tag=Csac_0078
